Time,traffic information,RP
20150427_17,76.50,89.00
20150427_18,76.10,88.20
20150427_19,77.50,90.40
20150427_20,77.80,91.20
20150427_21,78.40,92.10
20150427_22,78.20,92.00
20150427_23,78.20,92.40
20150428_00,78.70,92.20
20150428_01,79.40,92.00
20150428_02,79.60,91.70
20150428_03,79.10,91.20
20150428_04,77.90,91.80
20150428_05,77.00,91.40
20150428_06,76.50,86.60
20150428_07,74.80,89.40
20150428_08,76.00,89.80
20150428_09,76.00,88.90
20150428_10,76.40,88.80
20150428_11,77.20,89.70
20150428_12,77.60,90.90
20150428_13,76.90,89.20
20150428_14,76.90,89.20
20150428_15,77.10,88.10
20150428_16,75.00,88.50
20150428_17,76.30,88.70
20150428_18,75.40,87.30
20150428_19,76.70,90.10
20150428_20,77.40,90.60
20150428_21,77.60,91.10
20150428_22,77.70,92.30
20150428_23,78.30,91.90
20150429_00,78.60,92.30
20150429_01,80.00,92.80
20150429_02,79.80,91.90
20150429_03,79.30,90.50
20150429_04,78.10,91.40
20150429_05,77.40,91.30
20150429_06,76.80,85.50
20150429_07,74.70,87.50
20150429_08,75.50,89.20
20150429_09,76.10,89.20
20150429_10,76.80,89.30
20150429_11,77.20,89.80
20150429_12,77.20,90.60
20150429_13,77.20,89.40
20150429_14,76.90,88.90
20150429_15,77.30,88.60
20150429_16,77.10,89.40
20150429_17,76.90,89.40
20150429_18,76.20,87.60
20150429_19,76.90,90.30
20150429_20,77.40,91.00
20150429_21,78.10,90.80
20150429_22,78.00,90.80
20150429_23,78.10,92.00
20150430_00,78.80,91.70
20150430_01,80.00,91.80
20150430_02,80.00,91.80
20150430_03,79.80,91.90
20150430_04,78.80,91.80
20150430_05,77.00,91.50
20150430_06,76.50,86.90
20150430_07,74.70,89.00
20150430_08,76.10,90.30
20150430_09,76.00,89.10
20150430_10,76.10,88.80
20150430_11,76.90,89.30
20150430_12,77.30,90.70
20150430_13,76.80,89.10
20150430_14,76.20,88.60
20150430_15,76.40,88.20
20150430_16,76.50,88.20
20150430_17,75.80,87.40
20150430_18,75.00,87.20
20150430_19,76.10,87.80
20150430_20,76.90,89.70
20150430_21,77.90,89.70
20150430_22,78.10,90.30
20150430_23,78.30,91.10
20141103_00,77.80,89.90
20141103_01,78.10,89.90
20141103_02,78.10,89.70
20141103_03,77.70,88.50
20141103_04,77.40,89.30
20141103_05,76.00,87.50
20141103_06,75.90,80.60
20141103_07,73.80,83.80
20141103_08,75.00,86.60
20141103_09,75.60,87.70
20141103_10,76.30,88.80
20141103_11,76.40,88.90
20141103_12,77.30,89.10
20141103_13,76.50,87.60
20141103_14,76.40,87.50
20141103_15,76.40,86.60
20141103_16,75.90,86.10
20141103_17,75.80,85.60
20141103_18,75.40,85.70
20141103_19,76.70,88.30
20141103_20,77.20,88.50
20141103_21,77.80,89.90
20141103_22,78.10,89.20
20141104_00,78.80,90.30
20141104_01,79.40,90.70
20141104_02,79.30,89.40
20141104_03,79.40,90.20
20141104_04,78.80,88.80
20141104_05,76.90,90.00
20141104_06,76.70,84.90
20141104_07,74.40,86.50
20141104_08,75.10,86.80
20141104_09,75.20,86.40
20141104_10,76.00,85.00
20141104_11,76.30,84.60
20141104_12,76.60,84.30
20141104_13,76.20,85.00
20141104_14,76.10,85.70
20141104_15,76.30,86.60
20141104_16,76.20,86.40
20141104_17,75.60,85.70
20141104_18,75.00,84.90
20141104_19,76.00,87.50
20141104_20,77.50,87.90
20141104_21,77.60,89.00
20141104_22,77.90,89.90
20141104_23,78.10,89.80
20141105_00,78.40,89.90
20141105_01,79.80,90.50
20141105_02,79.70,89.30
20141105_03,79.40,90.60
20141105_04,78.60,89.10
20141105_05,77.20,88.60
20141105_06,76.70,87.10
20141105_07,75.20,86.10
20141105_08,75.40,88.10
20141105_09,76.00,88.30
20141105_10,76.40,87.80
20141105_11,76.60,88.10
20141105_12,76.80,88.70
20141105_13,76.00,88.00
20141105_14,76.20,87.10
20141105_15,76.50,86.30
20141105_16,75.70,86.70
20141105_17,75.70,85.40
20141105_18,75.10,85.70
20141105_19,76.90,88.00
20141105_20,77.30,89.40
20141105_21,77.80,89.20
20141105_22,77.90,90.10
20141105_23,78.10,90.40
20141106_00,78.50,90.20
20141106_01,80.00,90.80
20141106_02,79.70,89.10
20141106_03,80.00,89.30
20141106_04,78.60,90.60
20141106_05,77.20,88.50
20141106_06,76.70,85.90
20141106_07,74.30,86.40
20141106_08,74.90,87.70
20141106_09,75.80,87.20
20141106_10,76.20,87.70
20141106_11,76.30,87.60
20141106_12,76.90,89.10
20141106_13,76.40,88.20
20141106_14,76.40,86.60
20141106_15,76.40,87.20
20141106_16,76.40,86.40
20141106_17,75.30,85.20
20141106_18,75.30,85.30
20141106_19,76.40,87.70
20141106_20,77.50,89.00
20141106_21,77.70,88.80
20141106_22,77.50,89.10
20141106_23,78.30,89.40
20141107_00,78.80,89.10
20141107_01,79.60,89.40
20141107_02,79.80,90.30
20141107_03,79.80,89.20
20141107_04,79.20,89.60
20141107_05,77.70,88.80
20141107_06,76.80,86.20
20141107_07,75.10,87.10
20141107_08,75.20,87.80
20141107_09,75.70,87.10
20141107_10,76.40,86.60
20141107_11,76.00,87.20
20141107_12,76.80,88.80
20141107_13,75.90,86.40
20141107_14,76.20,86.40
20141107_15,76.10,85.90
20141107_16,75.70,86.20
20141107_17,75.30,84.10
20141107_18,74.20,83.00
20141107_19,75.90,87.20
20141107_20,77.00,87.50
20141107_21,77.70,87.70
20141107_22,77.20,88.40
20141107_23,78.00,89.10
20141108_00,78.80,89.90
20141108_01,79.60,88.80
20141108_02,80.20,89.60
20141108_03,80.20,88.70
20141108_04,79.30,89.70
20141108_05,77.80,89.40
20141108_06,77.00,89.60
20141108_07,76.80,89.40
20141108_08,76.40,87.40
20141108_09,76.40,85.90
20141108_10,76.40,86.50
20141108_11,76.20,86.30
20141108_12,76.00,86.00
20141108_13,76.00,85.60
20141108_14,75.90,86.60
20141108_15,76.00,86.10
20141108_16,75.90,84.90
20141108_17,75.30,84.40
20141108_18,76.60,86.40
20141108_19,77.00,87.50
